curve_id,axis_valid,audit_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours
图片103_2b72774534,True,,lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,图片103,samples_test__unknown__unknown__图片103__Control__Series_2,Time,(h),Normalized PCE,,1.0,63,1001.8731109582542
图片103_bcfcaf0360,True,,lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,图片103,samples_test__unknown__unknown__图片103__。Target__Series_1,Time,(h),Normalized PCE,,1.0,65,1001.8731109582543
图片105_32d68f1b45,True,,lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,图片105,samples_test__unknown__unknown__图片105__Series_2__Series_2,Time,(h),Normalized PCE,,1.0,56,1071.4679983736246
图片107_b2f4df4336,True,,lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,图片107,samples_test__unknown__unknown__图片107__Series_1__Series_1,Time,(h),PCE,(norm.),1.0,33,1309.7213885782332
图片107_f3230ee0e8,True,,lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,图片107,samples_test__unknown__unknown__图片107__Series_2__Series_2,Time,(h),PCE,(norm.),1.0,33,1309.7213885782335
图片115_01afabb0c0,True,,lab-v2/som_references/accepted/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_1__Series_1.csv,图片115,samples_test__unknown__unknown__图片115__Series_1__Series_1,Time,(h),PCE,(norm.),1.0,30,1288.4877248605123
图片115_8cc5d1e2b8,True,,lab-v2/som_references/accepted/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_2__Series_2.csv,图片115,samples_test__unknown__unknown__图片115__Series_2__Series_2,Time,(h),PCE,(norm.),1.0,31,1332.9183360625989
图片116_1a8fb0bddd,True,,lab-v2/som_references/accepted/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_2__Series_2.csv,图片116,samples_test__unknown__unknown__图片116__Series_2__Series_2,Times,(h),Normalized MPPT,,1.0,55,1007.0923277209376
图片116_1c8227d681,True,,lab-v2/som_references/accepted/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_3__Series_3.csv,图片116,samples_test__unknown__unknown__图片116__Series_3__Series_3,Times,(h),Normalized MPPT,,1.0,56,1025.7421856416954
图片116_4ac59c593b,True,,lab-v2/som_references/accepted/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_4__Series_4.csv,图片116,samples_test__unknown__unknown__图片116__Series_4__Series_4,Times,(h),Normalized MPPT,,1.0,52,1007.0923277209378
图片121_6f2a55d713,True,,lab-v2/som_references/accepted/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__Poly-2PACz__Series_2.csv,图片121,samples_test__unknown__unknown__图片121__Poly-2PACz__Series_2,Time,hours,PCE,%,1.0,85,1467.2939123434587
图片127_90c3584dc3,True,,lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_2__Series_2.csv,图片127,samples_test__unknown__unknown__图片127__Series_2__Series_2,Time,(h),Normal. PCE,,1.0,37,2118.153166482114
图片127_cfb6747cd0,True,,lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_1__Series_1.csv,图片127,samples_test__unknown__unknown__图片127__Series_1__Series_1,Time,(h),Normal. PCE,,1.0,37,2118.153166482114
图片127_fae8afb771,True,,lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_3__Series_3.csv,图片127,samples_test__unknown__unknown__图片127__Series_3__Series_3,Time,(h),Normal. PCE,,1.0,37,2118.153166482114
图片12_8ead6ff972,True,,lab-v2/som_references/accepted/samples_test/图片12/accepted/samples_test__unknown__unknown__图片12__Target__Series_2.csv,图片12,samples_test__unknown__unknown__图片12__Target__Series_2,Time,(h),Normalized PCE,,1.0,51,1561.8801618558145
图片135_416420e73b,True,,lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_2__Series_2.csv,图片135,samples_test__unknown__unknown__图片135__Series_2__Series_2,Time,h,Normalized PCE,,1.0,57,1011.0572730371723
图片135_d4e290896b,True,,lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_1__Series_1.csv,图片135,samples_test__unknown__unknown__图片135__Series_1__Series_1,Time,h,Normalized PCE,,1.0,57,1011.0572730371723
图片136_2e27e42dd3,True,,lab-v2/som_references/accepted/samples_test/图片136/accepted/samples_test__unknown__unknown__图片136__Target__Series_1.csv,图片136,samples_test__unknown__unknown__图片136__Target__Series_1,Time,(h),Normalized PCE,,1.0,30,1352.229077648581
图片141_7315da2cdf,True,,lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell3__Series_3.csv,图片141,samples_test__unknown__unknown__图片141__Cell3__Series_3,Time,(hours),Norm. PCE,,1.0,39,2411.8599222799694
图片141_939b548eee,True,,lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell4__Series_4.csv,图片141,samples_test__unknown__unknown__图片141__Cell4__Series_4,Time,(hours),Norm. PCE,,1.0,38,2348.389924325233
图片141_a8a78a6cbb,True,,lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell2__Series_2.csv,图片141,samples_test__unknown__unknown__图片141__Cell2__Series_2,Time,(hours),Norm. PCE,,1.0,38,2348.389924325233
图片141_c22163c53e,True,,lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell1__Series_1.csv,图片141,samples_test__unknown__unknown__图片141__Cell1__Series_1,Time,(hours),Norm. PCE,,1.0,39,2411.8599222799694
图片162_44a16a7876,True,,lab-v2/som_references/accepted/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_3__Series_3.csv,图片162,samples_test__unknown__unknown__图片162__Series_3__Series_3,Time,(h),Normal. PCE,,1.0,75,1456.7496729510262
图片162_d2a80a5e00,True,,lab-v2/som_references/accepted/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_1__Series_1.csv,图片162,samples_test__unknown__unknown__图片162__Series_1__Series_1,Time,(h),Normal. PCE,,1.0,76,1476.4354793422563
图片162_d9ab854a2e,True,,lab-v2/som_references/accepted/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_2__Series_2.csv,图片162,samples_test__unknown__unknown__图片162__Series_2__Series_2,Time,(h),Normal. PCE,,1.0,75,1456.7496729510262
图片163_9302500777,True,,lab-v2/som_references/accepted/samples_test/图片163/accepted/samples_test__unknown__unknown__图片163__Target__Series_2.csv,图片163,samples_test__unknown__unknown__图片163__Target__Series_2,Time,(h),SPO,(Normalized),1.0,91,1413.14658019644
图片17_9cc1fbc4c1,True,,lab-v2/som_references/accepted/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_1__Series_1.csv,图片17,samples_test__unknown__unknown__图片17__Series_1__Series_1,Time,(h),Stabilized output power,(Norm.),1.0,50,1131.1470929831216
图片17_b497897586,True,,lab-v2/som_references/accepted/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_2__Series_2.csv,图片17,samples_test__unknown__unknown__图片17__Series_2__Series_2,Time,(h),Stabilized output power,(Norm.),1.0,51,1154.2317275337978
图片203_16a7222a72,True,,lab-v2/som_references/accepted/samples_test/图片203/accepted/samples_test__unknown__unknown__图片203__0--Control__Series_1.csv,图片203,samples_test__unknown__unknown__图片203__0--Control__Series_1,Time,(d),Normalized PCE,(%),24.0,46,1571.5181159463548
图片203_d202464f39,True,,lab-v2/som_references/accepted/samples_test/图片203/accepted/samples_test__unknown__unknown__图片203__DMPESI__Series_2.csv,图片203,samples_test__unknown__unknown__图片203__DMPESI__Series_2,Time,(d),Normalized PCE,(%),24.0,46,1571.518115946355
图片205_1de446d485,True,,lab-v2/som_references/accepted/samples_test/图片205/accepted/samples_test__unknown__unknown__图片205__Series_1__Series_1.csv,图片205,samples_test__unknown__unknown__图片205__Series_1__Series_1,Time,(h),PCE,(Normalized),1.0,54,1003.8344196702012
图片205_b3846cfa76,True,,lab-v2/som_references/accepted/samples_test/图片205/accepted/samples_test__unknown__unknown__图片205__Series_2__Series_2.csv,图片205,samples_test__unknown__unknown__图片205__Series_2__Series_2,Time,(h),PCE,(Normalized),1.0,54,1003.8344196702012
