curve_id,window_hours,amplitude,start_value,end_value,end_minus_start,end_minus_start_ratio,gain_abs,gain_ratio,peak_drop_abs,peak_drop_ratio,early_peak_drop_abs,early_peak_drop_ratio,early_drop_abs,early_drop_ratio,recovery_abs,recovery_ratio,post_recovery_drop_abs,post_recovery_drop_ratio,t_peak_fraction,t_early_min_fraction,t_recovery_fraction,early_boundary_fraction,early_slope,late_slope,fraction_negative_steps,final_class,rule_ensemble_stability,strict_topology_match,strict_class,confidence_level,review_recommended
图片103_129eb17332,750,0.31675698399443886,0.9785364715778595,0.6846768749902061,-0.29385959658765337,-0.927713077962671,0.02159018200249818,0.06816008199799387,0.31544977859015155,0.9958731599606648,0.10166505411256177,0.32095599860348034,0.08007487211006359,0.2527959166054865,0.0,0.0,0.21378472447758978,0.6749171613571845,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.7220095265853163,-0.12063770302674197,0.6166666666666667,IFO-Slope,1.0,True,IFO-Slope,high,False
图片103_bbae347332,750,0.09097538515118475,0.9987021138559534,0.9139243741109957,-0.08477773974495773,-0.9318755793566836,0.0012978861440472444,0.014266344043395813,0.08607562588900497,0.9461419234000795,0.04517956763456621,0.4966130955036451,0.044443224996508435,0.4885192288293342,0.0005615435059894702,0.006172477369084899,0.04089605825443876,0.4495288278964344,0.0,0.25666666666666665,0.26666666666666666,0.26666666666666666,-0.28914918206078544,-0.08984733527686817,0.6533333333333333,IFO-Slope,1.0,True,IFO-Slope,high,False
图片105_59069294b1,750,0.08988497634868098,0.9389848308102448,0.9236444322004757,-0.015340398609769101,-0.1706669927826511,0.06101348563404141,0.6787951458913273,0.07635388424381051,0.8494621386739784,0.020832782781328718,0.2317715777163291,0.02887149071463957,0.3212048541086727,0.08988497634868098,1.0,0.07635388424381051,0.8494621386739784,0.14333333333333334,0.0,0.14333333333333334,0.26666666666666666,0.6311874145763021,-0.05245975480521828,0.5633333333333334,IFO-Hill,1.0,True,IFO-Hill,high,False
图片107_64985ae00f,750,0.27892959740408996,0.994006928853318,0.7216329114658174,-0.27237401738750056,-0.9764973667993639,0.005990606050132019,0.02147712579046722,0.2783646234376326,0.9979744925898312,0.2138750809381894,0.7667708372602173,0.2078844748880574,0.7452937114697501,0.0,0.0,0.06448954249944316,0.23120365532961384,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-1.074725588073927,-0.09620800717300529,1.0,IFO-Slope,1.0,True,IFO-Slope,high,False
图片107_f3e8ef4f1f,750,0.33949772045860405,0.990217766609747,0.6616647184586529,-0.3285530481510941,-0.9677621626067899,0.009787276143125134,0.028828694725561568,0.33834032429421923,0.9965908573323515,0.23347349479492707,0.6877026876043345,0.22368621865180194,0.658873992878773,0.0,0.0,0.10486682949929216,0.308888169728017,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-1.5291853368679393,-0.1388875397278304,1.0,IFO-Slope,1.0,True,IFO-Slope,high,False
图片113_282c27c5be,750,0.5180128521976,0.9953001108735755,0.486687036928795,-0.5086130739447805,-0.9818541601565633,0.004699889126425161,0.009072919921748104,0.5133129630712057,0.9909270800783114,0.09556614127103369,0.18448604289566786,0.09086625214460853,0.17541312297391978,0.0,0.0,0.417746821800172,0.8064410371826436,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.5531880033079527,-0.5901216785705219,0.9833333333333333,IFO-Slope,1.0,False,unresolved_other_shape,unresolved_other_shape,True
图片113_a2c8fdf9a4,750,0.035349636334025325,0.9984335011777706,0.9666112165561754,-0.0318222846215952,-0.9002153323700555,0.0015664988222302556,0.04431442539968772,0.033388783443825454,0.9445297577697432,0.020002700198633372,0.5658530687451525,0.018436201376403116,0.5215386433454647,0.0047821429040487695,0.1352812475597035,0.01816822614924085,0.5139579365842942,0.0,0.26666666666666666,0.54,0.26666666666666666,-0.11061721783776896,-0.003704050022249724,0.2866666666666667,IFO-Slope,1.0,True,IFO-Slope,high,False
图片114_9178f46f65,750,0.20415522997784574,0.9999999999999799,0.7991392401702365,-0.20086075982974338,-0.9838629157408318,5.393893604221933e-05,0.0002642055069961843,0.2009146987657856,0.984127121247828,0.012371435896552652,0.06059818255890461,0.012361337863977195,0.060548720036800466,0.0004821496401302694,0.002361681550762088,0.18898157160589646,0.9256758772547934,0.03,0.14666666666666667,0.31,0.26666666666666666,-0.08901569580792913,-0.2563943565133368,0.6033333333333334,IFO-Slope,1.0,False,unresolved_other_shape,unresolved_other_shape,True
图片114_9f1ff62ac8,750,0.04344974951044589,0.9811369427380249,0.9632738075815065,-0.017863135156518384,-0.41112170628794653,0.018721198188169086,0.43087010625155076,0.03658433334468747,0.8419918125394973,0.017311471179998428,0.39842510889128424,0.018767313967343546,0.43193146517062514,0.03748851215551263,0.862801571422176,0.03658433334468747,0.8419918125394973,0.22,0.03666666666666667,0.22,0.26666666666666666,-0.1958979021173025,-0.01790614192359279,0.33666666666666667,IFO-Valley,1.0,True,IFO-Valley,high,False
图片115_9640dfe869,750,0.27477524400375086,0.9935975304027632,0.7258038379371002,-0.267793692465663,-0.974591773857209,0.00640327945221586,0.023303698538899124,0.27419697191787884,0.9978954723961081,0.20866160498703357,0.759390118071136,0.2022583255348177,0.7360864195322369,0.0,0.0,0.06553536693084527,0.23850535432497214,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-1.0393168276133382,-0.08714258373183029,1.0,IFO-Slope,1.0,True,IFO-Slope,high,False
图片115_b130dc5a9e,750,0.33457054719186063,0.9910632519090271,0.6666165703480997,-0.3244466815609274,-0.9697407147284615,0.008942985250066093,0.026729744519136373,0.33338966681099347,0.9964704592475978,0.23534274542987088,0.7034174030116069,0.2263997601798048,0.6766876584924706,0.0,0.0,0.09804692138112259,0.2930530562359909,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-1.5606026022926354,-0.12093077176059136,1.0,IFO-Slope,1.0,True,IFO-Slope,high,False
图片116_91935f1b71,750,0.4457766568326471,0.997678861332249,0.5559770424038074,-0.4417018189284416,-0.9908590146169649,0.002363478052927248,0.005301933191657772,0.4440652969813689,0.9961609478086226,0.25377124219742175,0.5692788940554423,0.2514077641444945,0.5639769608637845,0.0,0.0,0.19029405478394712,0.4268820537531804,0.0033333333333333335,0.26666666666666666,0.26666666666666666,0.26666666666666666,-1.9804424196261075,-0.34970906359592485,0.9033333333333333,IFO-Slope,1.0,True,IFO-Slope,high,False
图片116_d9761adfd7,750,0.12315332541110413,0.9965931467591109,0.8889591096543317,-0.10763403710477926,-0.8739840093272416,0.003406853240889518,0.027663509933791353,0.11104089034566877,0.901647519261033,0.07525839935455358,0.6110951458544043,0.07185154611366407,0.5834316359206129,0.0,0.0,0.03578249099111519,0.29055237340662876,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.47851449757985715,-0.014694347075677055,0.53,IFO-Slope,1.0,True,IFO-Slope,high,False
图片116_ee1732337d,750,0.23057418202834812,0.9824111769675997,0.771565807845164,-0.21084536912243568,-0.9144361578891479,0.0176124726383996,0.07638527645837738,0.22845784176083528,0.9908214343475253,0.12669576681825867,0.5494794157078782,0.11032293070022814,0.47847044161546415,0.0012396365203690696,0.005376302365963339,0.10176207494257661,0.4413420186396471,0.0,0.25333333333333335,0.26666666666666666,0.26666666666666666,-0.8997130309024772,-0.07525241655345333,0.6733333333333333,IFO-Slope,1.0,True,IFO-Slope,high,False
图片116_fdb42055b2,750,0.048947831739085124,0.9987766981509769,0.9752812123500556,-0.023495485800921312,-0.4800107577014496,0.0012233018490237502,0.024991951748639697,0.024718787649945062,0.5050027094500893,0.04882022838904221,0.9973930745140438,0.047724529890061373,0.9750080482513603,0.025115260258840366,0.5131026108105559,0.0008862161697003046,0.018105320260645087,0.0,0.26,1.0,0.26666666666666666,-0.3015566264796594,0.06294047339922028,0.36333333333333334,IFO-Slope,1.0,False,unresolved_other_shape,unresolved_other_shape,True
图片121_3847c97967,750,0.18608444070176455,0.9973492678199841,0.8158534170201767,-0.18149585079980746,-0.9753413564043693,0.0025741677569167676,0.013833331509120408,0.18407001855672422,0.9891746879134896,0.042470492203378396,0.2282323661409466,0.03989632444646163,0.21439903463182622,0.0,0.0,0.14159952635334583,0.7609423217725431,0.02,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.18122160345370222,-0.13489252110177033,0.7866666666666666,IFO-Slope,1.0,True,IFO-Slope,high,False
图片121_5f19609d45,750,0.029136904699768262,0.9753227609738158,0.9876513535179957,0.01232859254417995,0.42312636401209786,0.02470608156098897,0.8479308909290377,0.012377489016809018,0.4248045269169399,0.009770184025005957,0.33531990187975125,0.004430823138779294,0.1520691090709623,0.029136904699768262,1.0,0.012377489016809018,0.4248045269169399,0.6266666666666667,0.0,0.6266666666666667,0.26666666666666666,0.12419710803148722,-0.026920166029750385,0.21,IFO-Slope,1.0,False,unresolved_other_shape,unresolved_other_shape,True
图片122_839b6dd4d3,750,0.06346688815583079,0.9981532710058927,0.9378001410422998,-0.06035312996359288,-0.950938855161881,0.0018467289941079823,0.02909751915949767,0.06219985895770086,0.9800363743213787,0.03342881401043529,0.5267126683185922,0.03158208501632731,0.49761514915909455,0.0,0.0,0.028771044947265567,0.45332370600278643,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.10929530908248031,-0.028019497525225676,0.48,IFO-Slope,1.0,True,IFO-Slope,high,False
图片127_bf5402f13a,750,0.26379133165125124,0.9796778021854649,0.7382051859070776,-0.24147261627838723,-0.915392536846621,0.02033108823868157,0.07707261687264444,0.2618037045170688,0.9924651537192655,0.2302720947773248,0.872932758388585,0.20994100653864323,0.7958601415159405,0.0,0.0,0.031531609739744004,0.11953239533068045,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-1.71725970345946,-0.014976896159922272,0.4666666666666667,IFO-Slope,1.0,True,IFO-Slope,high,False
图片127_e6b6963001,750,0.13229646725973343,0.9952839396625771,0.8678171507991349,-0.1274667888634422,-0.9634935195449379,0.004715339101564298,0.03564221478648272,0.1321821279650065,0.9991357343314206,0.091018550496476,0.6879892742546344,0.0863032113949117,0.6523470594681516,0.0,0.0,0.0411635774685305,0.3111464600767862,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.5274196459446792,-0.040562865054812006,0.9666666666666667,IFO-Slope,1.0,True,IFO-Slope,high,False
图片127_fa3bbaf3ca,750,0.06578557940223007,0.9974334371497809,0.9376835842552218,-0.05974985289455914,-0.908251526208093,0.0025678564989092267,0.03903372931032023,0.06231770939346837,0.9472852555184132,0.05173925155240422,0.7864831779630158,0.04917139505349499,0.7474494486526956,0.0,0.0,0.010578457841064148,0.16080207755539733,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.2503511026060671,0.008374762289469064,0.4866666666666667,IFO-Slope,1.0,True,IFO-Slope,high,False
图片12_353c32e27e,750,0.04061402767811384,0.9997961950483673,0.9593881108895189,-0.040408084158848334,-0.994929251516306,0.00020380495163363488,0.005018092597190543,0.04061188911048197,0.9999473441134964,0.012679410820933823,0.3121928935840689,0.012475605869300188,0.3071748009868784,0.0,0.0,0.027932478289548146,0.6877544505294275,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.06073229247261047,-0.006626466455884688,0.6966666666666667,IFO-Slope,1.0,True,IFO-Slope,high,False
图片132_03c9048497,750,0.18189528734349214,0.9969575338206002,0.8190151422580724,-0.17794239156252778,-0.9782682891970714,0.0030223026921100127,0.016615618448666446,0.1809646942546378,0.9948839076457379,0.05028494499563918,0.2764499604691835,0.04726264230352917,0.2598343420205171,0.0,0.0,0.1306797492589986,0.7184339471765544,0.11333333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.024900118033768494,-0.15333440560315223,0.9,IFO-Slope,1.0,True,IFO-Slope,high,False
图片132_74754f7a23,750,0.4387803076191368,0.9983457839432832,0.5636987976105221,-0.4346469863327611,-0.990579975412289,0.00164506753006477,0.0037491826809435934,0.4362920538628259,0.9943291580932326,0.11014440502889755,0.2510240389468512,0.10849933749883278,0.24727485626590764,0.0,0.0,0.3261476488339283,0.7433051191463813,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.4922526252117748,-0.4221815827073412,1.0,IFO-Slope,1.0,True,IFO-Slope,high,False
图片135_933b9d0c2e,750,0.013518162366149777,0.9984321290312065,0.9909834822001246,-0.007448646831081929,-0.5510103096360013,0.0015678709687941828,0.11598255194213512,0.009016517799876111,0.6669928615781364,0.004487353953718576,0.3319499967654744,0.011950291397355595,0.8840174480578649,0.009053210505274745,0.6697071880083703,0.004551565939001079,0.3367000495865067,0.0,0.09666666666666666,0.6466666666666666,0.26666666666666666,-0.12709956016514462,-0.011825774799763022,0.17,IFO-Valley,1.0,True,IFO-Valley,high,False
图片135_d9d595e475,750,0.25483936598137025,0.9965083926786019,0.746721533010415,-0.24978685966818692,-0.9801737604638654,0.0034916073213987486,0.013701208633732039,0.25327846698958567,0.9938749690975974,0.09083386198107046,0.35643575564267715,0.08734225465967171,0.3427345470089451,0.0,0.0,0.1624446050085152,0.6374392134549203,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.30878105273184414,-0.187307879015998,0.9866666666666667,IFO-Slope,1.0,True,IFO-Slope,high,False
图片136_4ddceb1f73,750,0.055340718774632314,0.9873054594042842,0.9634672543299266,-0.02383820507435752,-0.430753441628314,0.012683348489121782,0.22918655142107974,0.0365215535634793,0.6599399930493938,0.011171718984715917,0.20187159169744887,0.0016332112296892909,0.029511926585925375,0.014316559718811073,0.25869847800700513,0.0365215535634793,0.6599399930493938,0.30666666666666664,0.25,0.30666666666666664,0.26666666666666666,0.09595213077763932,0.02678191061459548,0.5633333333333334,IFO-Slope,1.0,False,unresolved_other_shape,unresolved_other_shape,True
图片141_134c91030b,750,0.07364506572929397,0.9967156589411482,0.9263533148618749,-0.07036234407927333,-0.95542509715332,0.003281314439680161,0.04455579484091552,0.07364365851895349,0.9999808919942356,0.019678647808566763,0.26720931828483846,0.016397333368886602,0.22265352344392297,0.0,0.0,0.05396501071038673,0.732771573709397,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.03262325720881954,-0.043827244514765766,0.7833333333333333,IFO-Slope,1.0,False,unresolved_other_shape,unresolved_other_shape,True
图片141_6b6eebecd2,750,0.007645409710605455,0.9989225226954875,0.9959870757151349,-0.0029354469803526406,-0.3839489434138091,0.0010771500237527487,0.1408884630811299,0.004012597004105389,0.524837406494939,0.0007761998053592567,0.10152494565236163,0.0029964446295930314,0.3919272796376712,0.00407359465334578,0.5328157427188012,0.004012597004105389,0.524837406494939,0.21666666666666667,0.07666666666666666,0.21666666666666667,0.26666666666666666,-0.03584348894579456,0.016030313672747095,0.3333333333333333,IFO-Slope,1.0,False,unresolved_other_shape,unresolved_other_shape,True
图片141_a26b87de5f,750,0.015224418789059446,0.9967486457256022,0.9887023821554314,-0.008046263570170797,-0.5285103938386794,0.003249762998638328,0.21345727831486538,0.011296026568809125,0.7419676721535448,0.008200532022811347,0.5386433555482856,0.0049507690241730185,0.3251860772334202,0.0,0.0,0.003095494545997779,0.20332431660525915,0.07,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.035518741669607716,2.5905215602929416e-14,0.4,IFO-Hill,0.54,True,IFO-Hill,low_review,True
图片141_fcf9b338aa,750,0.04107662539475676,0.9989503521223427,0.9592828289693628,-0.039667523152979944,-0.9656957642397596,0.0010479856653118347,0.02551294453330641,0.04071550881829178,0.991208708773066,0.01683727012063929,0.409899059594815,0.015789284455327457,0.38438611506150855,0.0008899396177994845,0.021665353695610085,0.024768178315451972,0.6029750028738611,0.05,0.26666666666666666,0.33,0.26666666666666666,-0.007723579177796019,-0.04333398917823548,0.8466666666666667,IFO-Slope,1.0,True,IFO-Slope,high,False
图片157_995f891bc8,750,0.026013531059515427,0.9759247520592281,0.9825715616070553,0.006646809547827148,0.2555135453399291,0.023999784696819848,0.9225885037256802,0.0173529751489927,0.6670749583857513,0.01734766073328542,0.6668706641015526,0.0020137463626955787,0.07741149627431972,0.026013531059515427,1.0,0.0173529751489927,0.6670749583857513,0.41333333333333333,0.0,0.41333333333333333,0.26666666666666666,0.07544095180781281,0.02013983168909157,0.22333333333333333,IFO-Slope,1.0,False,unresolved_other_shape,unresolved_other_shape,True
图片160_001c65f1a6,750,0.2243860437398647,0.9992145103687542,0.776414161002963,-0.22280034936579118,-0.9929331862728867,0.0007854896312469162,0.0035006171424705463,0.2235858389970381,0.9964338034153573,0.028420430291515753,0.12665863624060386,0.027634940660268836,0.12315801909813333,0.0,0.0,0.19516540870552235,0.8697751671747533,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.09425875574733683,-0.1607800026937348,1.0,IFO-Slope,1.0,False,unresolved_other_shape,unresolved_other_shape,True
图片160_081675db60,750,0.07771248606789727,0.9995143365821088,0.9231858337697783,-0.0763285028123305,-0.9821909795247371,0.00048345925771620113,0.006221127159589304,0.0768119620700467,0.9884121066843263,0.027011733430625795,0.34758550134434885,0.027241173051133716,0.3505379177720958,0.0007128988782241219,0.009173543587336318,0.04980022863942091,0.6408266053399776,0.02,0.24333333333333335,0.26666666666666666,0.26666666666666666,-0.12232971648575411,-0.15581309165373344,0.7866666666666666,IFO-Slope,1.0,True,IFO-Slope,high,False
图片162_09ccd333ad,750,0.5716874827140581,0.9822626719362932,0.43115366995206755,-0.5511090019842257,-0.964003968335747,0.017737328063707203,0.0310262662731395,0.568846330047933,0.9950302346088864,0.27401295908232437,0.47930550758512563,0.25627563101861717,0.44827924131198615,0.0,0.0,0.2948333709656085,0.5157247270237607,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-1.5916109870101762,-0.41974067632685547,1.0,IFO-Slope,1.0,True,IFO-Slope,high,False
图片162_5bd5654536,750,0.13477478708426716,0.995485238929815,0.8719442161625343,-0.12354102276728074,-0.9166478793250656,0.004535774044799323,0.03365447011957331,0.12807679681208006,0.950302349444639,0.07230521366983567,0.5364891700747206,0.06776943962503634,0.5028346999551473,0.0,0.0,0.055771583142244396,0.41381317936991835,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.34573079751832153,-0.08799192070037792,0.6733333333333333,IFO-Slope,1.0,True,IFO-Slope,high,False
图片162_ce1b0fab57,750,0.045544246831982216,0.997026197533879,0.9577971880388492,-0.03922900949502983,-0.8613384175557893,0.0029738024661218887,0.0652947995186434,0.04220281196115172,0.9266332170744327,0.02893901186864556,0.6354043349405861,0.02626771619090007,0.5767515771597803,0.00031150604650886926,0.006839635479274685,0.013272799350638631,0.2914264758752837,0.0,0.24333333333333335,0.34,0.26666666666666666,-0.13039566772340855,-0.02102346563632181,0.42333333333333334,IFO-Slope,1.0,True,IFO-Slope,high,False
图片163_7409b913fe,750,0.09262419403786948,0.9956567430526689,0.9246534196928967,-0.07100332335977222,-0.7665742638553211,0.004343256947331731,0.0468911712803243,0.07534658030710395,0.8134654351356454,0.07458818037026405,0.8052775103205606,0.07024492342293231,0.7583863390402363,0.008241757911181757,0.08898061674698197,0.009000157848021662,0.0971685415620668,0.0,0.26666666666666666,0.5166666666666667,0.26666666666666666,-0.6396053942889267,0.006201290763393032,0.43333333333333335,IFO-Slope,1.0,True,IFO-Slope,high,False
图片17_11b78bf64d,750,0.06087850604509659,0.9815849239105686,0.9398930802753657,-0.04169184363520295,-0.6848368388724774,0.01838190834909803,0.301944143233104,0.06007375198430098,0.9867809821055813,0.011150692447721489,0.18316304344691803,0.0035592582928426486,0.05846494147221811,0.02194116664194068,0.36040908470532207,0.06007375198430098,0.9867809821055813,0.09666666666666666,0.0,0.09666666666666666,0.26666666666666666,0.21065524741570363,-0.1182678051016907,0.38,IFO-Bridge,1.0,True,IFO-Bridge,high,False
图片17_5dc9e03dc9,750,0.22025713947727188,0.9867904588436157,0.7798353172736104,-0.20695514157000527,-0.9396069614867616,0.013279437251698778,0.0602906097991392,0.22023457882170405,0.9998975712859008,0.0901797558580888,0.4094294335798107,0.07731324459629585,0.3510135688667369,0.00100662902002846,0.004570244680456014,0.13064852599373789,0.5931636373004807,0.0,0.19333333333333333,0.38666666666666666,0.26666666666666666,-0.7003760275279566,-0.18693478916687034,0.7666666666666667,IFO-Slope,1.0,True,IFO-Slope,high,False
图片184_80e88bd7f4,750,0.06438220201713674,0.998528663927661,0.9365413478517656,-0.06198731607589547,-0.962802049849059,0.001471336072339624,0.022853149259293673,0.0634586521482351,0.9856551991083526,0.037771262637457226,0.5866724258266839,0.0362999265651176,0.5638192765673902,0.0,0.0,0.02568738951077787,0.39898277328166887,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.1268463804732028,-0.00850939073611539,0.45666666666666667,IFO-Slope,1.0,True,IFO-Slope,high,False
图片19_6a687a61be,750,0.1383558066517241,0.9983827070189055,0.8628163067947275,-0.13556640022417799,-0.9798388915141977,0.001617292981095142,0.011689375532797622,0.13718369320527313,0.9915282670469953,0.05723338459559535,0.41366810675077764,0.05561609161450021,0.40197873121798,0.0,0.0,0.07995030860967778,0.5778601602962177,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.23392340387566965,-0.09365669838902521,1.0,IFO-Slope,1.0,True,IFO-Slope,high,False
图片19_f8a9475917,750,0.02069308776824752,0.9986873825633807,0.985343774586442,-0.013343607976938787,-0.6448340685730753,0.0013175517321207808,0.06367110345622252,0.014661159709059568,0.7085051720292979,0.00916955961052024,0.4431218633591482,0.007852007878399458,0.3794507599029257,9.786694890401293e-05,0.00472945120612617,0.005589467047443342,0.27011275987627575,0.13,0.26666666666666666,0.5666666666666667,0.26666666666666666,0.014935097300174305,0.009050384356281244,0.47333333333333333,IFO-Slope,1.0,False,unresolved_other_shape,unresolved_other_shape,True
图片203_43b6c7ef6f,750,0.04216759613426946,0.9964496896329949,0.9581414382860092,-0.03830825134698568,-0.9084760541009995,0.0035503103670062597,0.08419522791153217,0.04185856171399194,0.9926712820125316,0.0365368302674437,0.8664669940184317,0.03298651990043744,0.7822717661068995,0.0,0.0,0.005321731446548239,0.12620428799409997,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.2639954699093319,-0.008918330969929104,0.43666666666666665,IFO-Slope,1.0,True,IFO-Slope,high,False
图片203_d6265391d3,750,0.25922069040381523,0.9964565901433917,0.7417242642067731,-0.25473232593661865,-0.9826851612029711,0.0035395180308580576,0.013654458003889194,0.2582718439674767,0.9963396192068603,0.1292691644765498,0.49868382140011147,0.12572964644569173,0.4850293633962223,0.0,0.0,0.12900267949092692,0.49765579780674885,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.525060980741609,-0.12774128182387048,0.97,IFO-Slope,1.0,True,IFO-Slope,high,False
图片204_956f733ac0,750,0.2075300257690087,0.9924542757613616,0.7929958603007495,-0.19945841546061205,-0.9611063012280413,0.007552606049487598,0.036392835309017046,0.20701102151009965,0.9974991365370584,0.1339723970912009,0.6455566927954747,0.1264197910417133,0.6091638574864576,0.0,0.0,0.07303862441889875,0.3519424437415836,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.9375485517885787,-0.057668636173954804,0.7533333333333333,IFO-Slope,1.0,True,IFO-Slope,high,False
图片204_e23dcaaf74,750,0.073844159176918,0.9873551958179408,0.9261579770024474,-0.06119721881549345,-0.8287347232009963,0.012635011909974514,0.17110374132235945,0.07383223072546796,0.9998384645233558,0.04469203590145321,0.6052210005449276,0.032057023991478695,0.4341172592225681,0.0,0.0,0.029140194824014753,0.3946174639784282,0.04666666666666667,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.07190400144858514,2.423972598870223e-14,0.43,IFO-Slope,0.54,True,IFO-Slope,low_review,True
图片205_9ae72871fb,750,0.38661155110695533,0.989098077596083,0.6143454709138533,-0.37475260668222976,-0.9693259438556071,0.010831858502706071,0.028017420772069635,0.38558446518493583,0.9973433646276767,0.27299149903437714,0.7061131470405926,0.26215964053167107,0.678095726268523,0.0,0.0,0.1125929661505587,0.2912302175870841,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,-1.8907310920972797,-0.15423368334392007,0.88,IFO-Slope,1.0,True,IFO-Slope,high,False
图片205_b01c2f4a6f,750,0.22212242357463796,0.992901395559512,0.7788063887512034,-0.2140950068083085,-0.963860394474617,0.006992858107335187,0.03148199985754898,0.2210878649156437,0.995342394332166,0.19161431265283402,0.8626518186195076,0.18499911734500607,0.8328700649299478,0.00046918647554961,0.002112287755549152,0.029565075938852048,0.1331026173002184,0.0,0.25666666666666665,0.27,0.26666666666666666,-1.6995782708304505,-0.07663342403063013,0.65,IFO-Slope,1.0,True,IFO-Slope,high,False
图片33_40de2a4f2a,750,0.04942670691371709,0.9518612905111707,0.9959451818425266,0.04408389133135582,0.8919042777483015,0.0481330782596312,0.9738273347576212,0.004049186928275383,0.08192305700931975,0.024940754450527125,0.5046007716853471,0.0012936286540858877,0.02617266524237881,0.04942670691371709,1.0,0.004049186928275383,0.08192305700931975,0.7833333333333333,0.0,0.7833333333333333,0.26666666666666666,0.15803343598247258,-0.006145960132013654,0.2,IFO-Slope,1.0,False,unresolved_other_shape,unresolved_other_shape,True
