sample_id,cluster,membership_probability,outlier_score,source_path,figure_id,unit,duration_analysis,clean_n,qc_flags,final_relative_output,last_time_in_window
S0005,1,0.313029576132309,0.686970423867691,/Users/shunhao/Desktop/ML/method1/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,图片103,hours,1001.8731109582542,63,negative_start_retained_shifted,0.8494901752885539,297.43107981573166
S0006,1,0.846387277183991,0.153612722816009,/Users/shunhao/Desktop/ML/method1/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,图片103,hours,1001.8731109582544,65,negative_start_retained_shifted,0.9382370692660736,297.43107981573166
S0007,1,0.2392118807474493,0.7607881192525506,/Users/shunhao/Desktop/ML/method1/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_1__Series_1.csv,图片105,hours,506.5121446857133,27,negative_start_retained_shifted,0.7164252569463039,292.2185450109884
S0008,-1,0.0,0.9531056631049296,/Users/shunhao/Desktop/ML/method1/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,图片105,hours,1071.4679983736246,56,negative_start_retained_shifted,1.067687878357772,292.21854501098846
S0013,1,0.4130543756553602,0.5869456243446397,/Users/shunhao/Desktop/ML/method1/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_1__Series_1.csv,图片113,hours,995.846682361194,50,,0.9796254368431243,284.52762353176973
S0014,1,1.0,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_2__Series_2.csv,图片113,hours,975.5232806803532,49,,0.8828462618479642,284.5276235317697
S0015,1,0.4945797753592322,0.5054202246407677,/Users/shunhao/Desktop/ML/method1/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_1__Series_1.csv,图片114,hours,605.7960715706885,52,,0.5843209733418633,296.95885861308255
S0016,-1,0.0,0.9582993589180436,/Users/shunhao/Desktop/ML/method1/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_2__Series_2.csv,图片114,hours,985.903410595434,84,,0.9752123451473669,296.95885861308255
S0017,1,0.4115656909825802,0.5884343090174198,/Users/shunhao/Desktop/ML/method1/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_3__Series_3.csv,图片114,hours,985.903410595434,84,,0.9692062575987743,296.9588586130826
S0020,1,0.9316974950830916,0.0683025049169082,/Users/shunhao/Desktop/ML/method1/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_1__Series_1.csv,图片116,hours,988.4424698001794,43,,0.6985991734105856,298.3977267321297
S0021,1,0.4413015882813756,0.5586984117186243,/Users/shunhao/Desktop/ML/method1/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_2__Series_2.csv,图片116,hours,1007.0923277209376,55,,0.8386582986598836,298.3977267321296
S0022,1,0.2567147780795418,0.7432852219204582,/Users/shunhao/Desktop/ML/method1/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_3__Series_3.csv,图片116,hours,1025.7421856416954,56,,0.9564697162578376,298.3977267321296
S0023,1,0.8480088548023487,0.1519911451976513,/Users/shunhao/Desktop/ML/method1/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_4__Series_4.csv,图片116,hours,1007.0923277209378,52,,0.913597082352182,298.3977267321297
S0028,1,0.4606480551220442,0.5393519448779558,/Users/shunhao/Desktop/ML/method1/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__2PaCz__Series_1.csv,图片121,hours,855.9214488670177,50,,0.9262664579317468,296.9523394028429
S0029,0,0.9083016772964876,0.0916983227035123,/Users/shunhao/Desktop/ML/method1/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__Poly-2PACz__Series_2.csv,图片121,hours,1467.2939123434587,85,,1.0200691853439152,296.9523394028429
S0030,1,0.924991273104049,0.0750087268959509,/Users/shunhao/Desktop/ML/method1/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__OCT-doped__Series_2.csv,图片122,hours,997.8628278541324,53,,0.9592582249091263,287.84504649638444
S0031,1,0.2730292102192689,0.7269707897807312,/Users/shunhao/Desktop/ML/method1/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__Pristine__Series_1.csv,图片122,hours,729.2074511241739,39,,0.9581207344984359,287.84504649638444
S0037,1,0.5013816959580613,0.4986183040419387,/Users/shunhao/Desktop/ML/method1/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__SnO2-FBA__Series_2.csv,图片132,hours,986.2603191123052,43,negative_start_retained_shifted,0.9305355564866571,281.78866260351583
S0038,1,0.6953093287741478,0.3046906712258522,/Users/shunhao/Desktop/ML/method1/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__Sn_{$__Series_1.csv,图片132,hours,986.2603191123052,43,negative_start_retained_shifted,0.8410753127079859,281.78866260351583
S0044,-1,0.0,0.9817779533868856,/Users/shunhao/Desktop/ML/method1/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_1__Series_1.csv,图片135,hours,1011.0572730371724,57,,0.9954710255097584,288.87350658204923
S0045,1,0.8548525499865925,0.1451474500134075,/Users/shunhao/Desktop/ML/method1/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_2__Series_2.csv,图片135,hours,1011.0572730371724,57,,0.8737604499749585,288.8735065820492
S0055,0,1.0,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片157/accepted/samples_test__unknown__unknown__图片157__NBG_PSCs_with_YbOx__Series_1.csv,图片157,hours,986.6919371072016,74,,1.0223705336192288,297.3592139227183
S0056,1,0.6706054998998011,0.3293945001001989,/Users/shunhao/Desktop/ML/method1/samples_test/图片159/accepted/samples_test__unknown__unknown__图片159__MeO-2PACz__Series_2.csv,图片159,hours,479.0032449596249,35,,0.8506959766421202,295.8549454162389
S0057,1,1.0,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片159/accepted/samples_test__unknown__unknown__图片159__PTAA__Series_1.csv,图片159,hours,479.0032449596249,35,,0.9551203017794708,295.8549454162389
S0058,1,0.6740125146589042,0.3259874853410958,/Users/shunhao/Desktop/ML/method1/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_1__Series_1.csv,图片16,hours,629.562024525387,45,,0.7136249635846048,286.1645566024486
S0059,-1,0.0,0.9909455399499122,/Users/shunhao/Desktop/ML/method1/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_2__Series_2.csv,图片16,hours,643.8702523555094,46,negative_start_retained_shifted,0.6886581432242386,286.1645566024486
