curve_id,sample,csv_path,cluster_zero_based,cluster_display,som_x,som_y
图片102_ad8854cfa8,图片102,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Control__Series_1.csv,6,7,0,6
图片102_0574c0aefb,图片102,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Target__Series_2.csv,2,3,0,2
图片103_b49966b933,图片103,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,2,3,0,2
图片103_e647eaafac,图片103,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,1,2,0,1
图片105_a0f739dd1e,图片105,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_1__Series_1.csv,1,2,0,1
图片105_dccad548c1,图片105,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,0,1,0,0
图片107_bce0588e91,图片107,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,4,5,0,4
图片107_b88bf7baa8,图片107,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,3,4,0,3
图片11_01619c25b4,图片11,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片11/accepted/samples_test__unknown__unknown__图片11__Series_1__Series_1.csv,2,3,0,2
图片11_2a734d333e,图片11,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片11/accepted/samples_test__unknown__unknown__图片11__Series_2__Series_2.csv,4,5,0,4
