candidate_id,window_hours,sigma,learning_rate,iterations,seed,n_curves,quantization_error,quantization_error_per_sqrt_dimension,topographic_error,silhouette,occupied_nodes,min_cluster_size_including_empty,cluster_0_size,cluster_1_size,cluster_2_size,cluster_3_size
25,300,0.5,0.1,50000,0,116,0.9585517145,0.02259328058,0,0.5918688424,4,2,2,62,21,31
25,300,0.5,0.1,50000,1,116,0.9585517145,0.02259328058,0,0.5918688424,4,2,31,62,21,2
25,300,0.5,0.1,50000,2,116,0.9585517129,0.02259328054,0,0.5918688424,4,2,2,31,21,62
25,300,0.5,0.1,50000,3,116,0.9585517145,0.02259328058,0,0.5918688424,4,2,2,21,62,31
25,300,0.5,0.1,50000,4,116,0.9585517145,0.02259328058,0,0.5918688424,4,2,31,21,62,2
22,300,0.4,0.1,50000,0,116,0.9585517161,0.02259328062,0,0.5918688424,4,2,2,62,21,31
22,300,0.4,0.1,50000,1,116,0.9585517161,0.02259328062,0,0.5918688424,4,2,21,62,31,2
22,300,0.4,0.1,50000,2,116,0.9585517161,0.02259328062,0,0.5918688424,4,2,21,31,2,62
22,300,0.4,0.1,50000,3,116,0.9585517161,0.02259328062,0,0.5918688424,4,2,2,31,62,21
22,300,0.4,0.1,50000,4,116,0.9585517161,0.02259328062,0,0.5918688424,4,2,31,21,62,2
19,300,0.3,0.1,50000,0,116,0.9585517161,0.02259328062,0,0.5918688424,4,2,2,62,31,21
19,300,0.3,0.1,50000,1,116,0.9525440689,0.02245167902,0,0.4667469751,4,20,20,47,26,23
19,300,0.3,0.1,50000,2,116,0.9585517161,0.02259328062,0,0.5918688424,4,2,21,31,2,62
19,300,0.3,0.1,50000,3,116,0.9525440689,0.02245167902,0,0.4667469751,4,20,23,26,47,20
19,300,0.3,0.1,50000,4,116,0.9585517161,0.02259328062,0,0.5918688424,4,2,31,21,62,2
26,300,0.5,0.2,50000,0,116,0.963407206,0.02270772561,0,0.5918688424,4,2,2,62,21,31
26,300,0.5,0.2,50000,1,116,0.963407206,0.02270772561,0,0.5918688424,4,2,31,62,21,2
26,300,0.5,0.2,50000,2,116,0.9634072036,0.02270772556,0,0.5918688424,4,2,2,31,21,62
26,300,0.5,0.2,50000,3,116,0.963407206,0.02270772561,0,0.5918688424,4,2,2,21,62,31
26,300,0.5,0.2,50000,4,116,0.963407206,0.02270772561,0,0.5918688424,4,2,31,21,62,2
23,300,0.4,0.2,50000,0,116,0.9634072091,0.02270772569,0,0.5918688424,4,2,2,62,21,31
23,300,0.4,0.2,50000,1,116,0.9634072091,0.02270772569,0,0.5918688424,4,2,31,62,21,2
23,300,0.4,0.2,50000,2,116,0.9634072091,0.02270772569,0,0.5918688424,4,2,21,31,2,62
23,300,0.4,0.2,50000,3,116,0.9634072091,0.02270772569,0,0.5918688424,4,2,2,21,62,31
23,300,0.4,0.2,50000,4,116,0.9634072091,0.02270772569,0,0.5918688424,4,2,31,21,62,2
20,300,0.3,0.2,50000,0,116,0.9634072091,0.02270772569,0,0.5918688424,4,2,2,62,31,21
20,300,0.3,0.2,50000,1,116,0.9634072091,0.02270772569,0,0.5918688424,4,2,21,62,31,2
20,300,0.3,0.2,50000,2,116,0.9634072091,0.02270772569,0,0.5918688424,4,2,21,31,2,62
20,300,0.3,0.2,50000,3,116,0.9634072091,0.02270772569,0,0.5918688424,4,2,2,31,62,21
20,300,0.3,0.2,50000,4,116,0.9634072091,0.02270772569,0,0.5918688424,4,2,31,21,62,2
27,300,0.5,0.3,50000,0,116,0.9755075452,0.02299293334,0,0.5918270426,4,2,2,63,21,30
27,300,0.5,0.3,50000,1,116,0.9755075452,0.02299293334,0,0.5918270426,4,2,30,63,21,2
27,300,0.5,0.3,50000,2,116,0.9755075434,0.0229929333,0,0.5918270426,4,2,2,30,21,63
27,300,0.5,0.3,50000,3,116,0.9755075452,0.02299293334,0,0.5918270426,4,2,2,21,63,30
27,300,0.5,0.3,50000,4,116,0.9755075452,0.02299293334,0,0.5918270426,4,2,30,21,63,2
24,300,0.4,0.3,50000,0,116,0.975507549,0.02299293343,0,0.5918270426,4,2,2,63,21,30
24,300,0.4,0.3,50000,1,116,0.975507549,0.02299293343,0,0.5918270426,4,2,30,63,21,2
24,300,0.4,0.3,50000,2,116,0.975507549,0.02299293343,0,0.5918270426,4,2,21,30,2,63
24,300,0.4,0.3,50000,3,116,0.975507549,0.02299293343,0,0.5918270426,4,2,2,21,63,30
24,300,0.4,0.3,50000,4,116,0.975507549,0.02299293343,0,0.5918270426,4,2,30,21,63,2
21,300,0.3,0.3,50000,0,116,0.975507549,0.02299293343,0,0.5918270426,4,2,2,63,30,21
21,300,0.3,0.3,50000,1,116,0.975507549,0.02299293343,0,0.5918270426,4,2,21,63,30,2
21,300,0.3,0.3,50000,2,116,0.975507549,0.02299293343,0,0.5918270426,4,2,21,30,2,63
21,300,0.3,0.3,50000,3,116,0.975507549,0.02299293343,0,0.5918270426,4,2,2,30,63,21
21,300,0.3,0.3,50000,4,116,0.975507549,0.02299293343,0,0.5918270426,4,2,30,21,63,2
