curve_id,sample_id,source_absolute_path,source_relative_path,doi,figure_folder,series_id,n_raw_points,n_unique_points_total,n_unique_points_0_200h,n_duplicate_points,duration_h,endpoint_bracket_time_h,endpoint_uses_point_after_200h,max_pce_0_200h,normalized_pce_0h,normalized_pce_200h,array_row,raw_cluster_id,som_node_x,som_node_y,node_label,bmu_distance,pce_norm_0h,pce_norm_10h,pce_norm_50h,pce_norm_100h,pce_norm_150h,pce_norm_200h,peak_time_h,ordered_class_id,suggested_shape_name,class_label
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,Series_1,58,58,11,0,1060.6247099479856,204.68196156890951,True,0.9905418103999388,0.9058490391649789,0.9560177458712436,0,1,0,1,node_0_1,1.5496485472743362,0.9058490391649789,0.9086490702500708,0.9241160018696905,0.9770123569056093,0.9910181344348932,0.9560177458712436,126.83333333333333,1,no_initial_change_stable,class_01
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,Series_3,58,58,11,0,1060.6247099479856,204.68196156890951,True,1.00051222423094,0.8168695099720891,0.9969462631128664,1,1,0,1,node_0_1,3.735835528521253,0.8168695099720891,0.8139177613182517,0.8215157211093269,0.9292942989480322,0.9925652379916274,0.9969462631128664,186.83333333333331,1,no_initial_change_stable,class_01
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,Series_4,57,57,11,0,1042.0172588962664,204.68196156890951,True,1.0006898017547046,0.9198707139926581,0.986526357252369,2,1,0,1,node_0_1,0.9981920139598013,0.9198707139926581,0.9353318841124549,0.986427214734946,0.9983082224437928,0.9997947576789608,0.986526357252369,117.83333333333333,1,no_initial_change_stable,class_01
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,Series_2,43,42,11,1,762.9054931204807,204.68196156890946,True,0.9929423501461554,0.9452394410451271,0.8772957309389467,3,2,0,2,node_0_2,1.0176247151018434,0.9452394410451271,0.9542203760638389,0.9993713567265676,0.9710690230602914,0.9184240305222398,0.8772957309389467,53.83333333333333,2,no_initial_change_moderate_loss,class_02
x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,10.1002/adfm.201801654|Fig4_F_stability_performance_curve_pce|10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,10.1002/adfm.201801654,Fig4_F_stability_performance_curve_pce,Series_1,47,47,20,0,472.3744498688373,205.3801955951466,True,1.0035646390205453,1.0,0.7934678036346178,4,0,0,0,node_0_0,1.0212915014580264,1.0,0.9923356941808119,0.9564814275098377,0.9084823184604334,0.8523470997156961,0.7934678036346178,0.0,3,no_initial_change_moderate_loss,class_03
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,10.1002/adfm.201804128,Fig8_C_stability_performance_curve_decay,Series_3,46,43,18,3,470.91911368604815,201.82247729402062,True,1.000499557576434,0.9967406651215077,0.9950000809096665,5,1,0,1,node_0_1,0.7548857749461403,0.9967406651215077,0.9889178109611675,0.9879444642923605,0.9984212837937338,0.9967406651215077,0.9950000809096665,56.166666666666664,1,no_initial_change_stable,class_01
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,10.1002/adfm.201804128,Fig8_C_stability_performance_curve_decay,Series_4,43,43,18,0,470.91911368604815,201.82247729402062,True,1.003760520680359,1.0,0.9499084635747447,6,1,0,1,node_0_1,0.21438546409791298,1.0,0.9986295893840909,0.9887614028268226,0.9742740595267156,0.9614110892900734,0.9499084635747447,0.0,1,no_initial_change_stable,class_01
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,10.1002/adfm.201804128,Fig8_C_stability_performance_curve_decay,Series_2,45,44,18,1,482.13147353571594,201.82247729402062,True,0.9988690760244715,1.0,0.8059779395531682,7,0,0,0,node_0_0,1.0640332910720227,1.0,0.9930186644956658,0.9539429762738476,0.9045702629648714,0.8552996184600614,0.8059779395531682,0.0,3,no_initial_change_moderate_loss,class_03
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,10.1002/adfm.201804128,Fig8_C_stability_performance_curve_decay,Series_1,42,42,18,0,459.70675383638024,201.8224772940206,True,1.0021300391283965,1.0,0.8435017440031572,8,2,0,2,node_0_2,0.47870531187341864,1.0,0.9912150001887783,0.9613083257210246,0.9226152483082594,0.8824645358886016,0.8435017440031572,0.0,2,no_initial_change_moderate_loss,class_02
x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,10.1002/adfm.201807556|Fig6_A_stability_performance_curve_ff|10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,10.1002/adfm.201807556,Fig6_A_stability_performance_curve_ff,Series_2,56,56,16,0,718.618269705822,209.05258755078458,True,13.656828618271103,1.0,0.8867599790303697,9,2,0,2,node_0_2,0.5835777350276882,1.0,0.991959950690536,0.946186124414195,0.9082945600789487,0.8966373734567433,0.8867599790303697,0.0,2,no_initial_change_moderate_loss,class_02
