curve_id,axis_valid,audit_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours,x_min_original,x_max_original,y_min_original,y_max_original
图片1_6d13fb85b9,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片1/accepted/samples_test__unknown__unknown__图片1__Series_1__Series_1.csv,图片1,samples_test__unknown__unknown__图片1__Series_1__Series_1,Thermal cycles,,Normalized PCE,,,64,,-0.5993493257997429,197.2076219346634,0.9053732294229524,1.0021347422264115
图片1_719d46b870,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片1/accepted/samples_test__unknown__unknown__图片1__Series_2__Series_2.csv,图片1,samples_test__unknown__unknown__图片1__Series_2__Series_2,Thermal cycles,,Normalized PCE,,,64,,-0.2853700063386881,197.52160125412445,0.3463067110029638,1.0057185019598731
图片120_a9464bae85,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片120/accepted/samples_test__unknown__unknown__图片120__Series_1__Series_1.csv,图片120,samples_test__unknown__unknown__图片120__Series_1__Series_1,Impact cycles,,Normalized PCE,,,40,,0.5427690784540484,48.45309986044446,0.8995544351961344,1.0064670527620452
图片120_d4cbddb567,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片120/accepted/samples_test__unknown__unknown__图片120__Series_2__Series_2.csv,图片120,samples_test__unknown__unknown__图片120__Series_2__Series_2,Impact cycles,,Normalized PCE,,,40,,0.4199220764489464,48.33025285843936,0.5039777502022648,1.0011214218837496
图片125_4cd5d902c4,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片125/accepted/samples_test__unknown__unknown__图片125__Series_1__Series_1.csv,图片125,samples_test__unknown__unknown__图片125__Series_1__Series_1,,,,,,58,,-0.9913236590166504,236.7125480825827,17.53187542384437,21.532781206644817
图片125_c061c64efb,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片125/accepted/samples_test__unknown__unknown__图片125__Series_2__Series_2.csv,图片125,samples_test__unknown__unknown__图片125__Series_2__Series_2,,,,,,58,,-0.1572749862391091,237.5465967553603,21.642395063707845,22.46449899168054
图片134_7c7a21099f,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片134/accepted/samples_test__unknown__unknown__图片134__Series_1__Series_1.csv,图片134,samples_test__unknown__unknown__图片134__Series_1__Series_1,,,,,,44,,4.2092142886893384,1172.71664021024,0.9471009776834244,1.0824536559324494
图片134_f612d67aac,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片134/accepted/samples_test__unknown__unknown__图片134__Series_2__Series_2.csv,图片134,samples_test__unknown__unknown__图片134__Series_2__Series_2,,,,,,39,,25.94888732909027,1058.583356748135,0.107220256240756,0.9679244666448128
图片134_a3e64e4da3,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片134/accepted/samples_test__unknown__unknown__图片134__Series_3__Series_3.csv,图片134,samples_test__unknown__unknown__图片134__Series_3__Series_3,,,,,,39,,39.53618297934088,1072.1706523983858,0.8499246958636115,1.0130420260611546
图片140_5c64e9dc75,False,implausible_duration_over_100000h,lab-v2/som_references/accepted/samples_test/图片140/accepted/samples_test__unknown__unknown__图片140__Series_1__Series_1.csv,图片140,samples_test__unknown__unknown__图片140__Series_1__Series_1,Time,(h),Normalized PCE,,1.0,37,42488794.46516118,-4673945.075648515,37814849.389512666,0.9238001647276356,0.999507039437824
