curve_id,axis_valid,audit_reasons,source_file,doi,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours,x_min_original,x_max_original,y_min_original,y_max_original,window_hours,amplitude,start_value,end_value,end_minus_start,end_minus_start_ratio,gain_abs,gain_ratio,peak_drop_abs,peak_drop_ratio,early_peak_drop_abs,early_peak_drop_ratio,early_drop_abs,early_drop_ratio,recovery_abs,recovery_ratio,post_recovery_drop_abs,post_recovery_drop_ratio,t_peak_fraction,t_early_min_fraction,t_recovery_fraction,early_boundary_fraction,early_slope,late_slope,fraction_negative_steps,final_class,rule_ensemble_stability,strict_topology_match,strict_class,confidence_level,review_recommended
10.1002_adfm.201900221_Fig5_D_stability_performance_curve_pce_d5da1a1364,True,,lab/data_all/x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__F-PEAI__Series_2.csv,10.1002/adfm.201900221,Fig5_D_stability_performance_curve_pce,10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__F-PEAI__Series_2,Time (Days),Days,Normalized PCE,,24.0,59,939.2564445821133,0.2162258809613142,39.351911071882704,0.9646773890194458,1.0052715843146118,500,0.022207683667484046,0.9999999999999867,0.9786125590908205,-0.021387440909166222,-0.9630649116495295,8.406499870439177e-06,0.0003785401483698082,0.02139584740903666,0.9634434517978993,0.019536160130914304,0.8797027381796994,0.022199277167613607,0.9996214598516302,0.01007410009178522,0.4536312855777694,0.009262263833337836,0.4170747373756687,0.09333333333333334,0.3233333333333333,0.5833333333333334,0.4,2.0654445582378336e-05,-0.020262929620058975,0.47333333333333333,IFO-Valley,1.0,True,IFO-Valley,high,False
10.1002_aenm.201903751_Fig5_D_stability_performance_curve_pce_81fe7b1baf,True,,lab/data_all/x_time_h/10.1002_aenm.201903751/Fig5_D_stability_performance_curve_pce/accepted/10.1002_aenm.201903751__Fig5__D__stability_performance_curve_pce__Series_1__Series_1.csv,10.1002/aenm.201903751,Fig5_D_stability_performance_curve_pce,10.1002_aenm.201903751__Fig5__D__stability_performance_curve_pce__Series_1__Series_1,Time,hours,Normalized PCE,,1.0,138,3008.1176979116626,-10.33056618639364,2997.787131725269,0.901812422219147,1.0227447734280932,500,0.07742023043525592,0.9784534653145475,0.9257654122214398,-0.052688053093107645,-0.6805463222841863,0.02154653468541201,0.2783062587682517,0.07423458777851966,0.958852581052438,0.05134105211046258,0.6631477563657922,0.02979451742505057,0.38484149759754044,0.04602562536343424,0.5944909373774598,0.06891916103149132,0.8901957620641057,0.24,0.4,0.7266666666666667,0.4,0.22101448631158666,-0.2540954832679213,0.6,IFO-Valley,1.0,True,IFO-Valley,high,False
10.1002_solr.202100040_Fig6_C_stability_performance_curve_pce_e2b9ee4229,True,,lab/data_all/x_time_h/10.1002_solr.202100040/Fig6_C_stability_performance_curve_pce/accepted/10.1002_solr.202100040__Fig6__C__stability_performance_curve_pce__Reference__Series_1.csv,10.1002/solr.202100040,Fig6_C_stability_performance_curve_pce,10.1002_solr.202100040__Fig6__C__stability_performance_curve_pce__Reference__Series_1,Time,(h),Normalized PCE,,1.0,55,2043.919804638707,-18.236028269815108,2025.683776368892,0.6664785419311131,1.0037901008799115,500,0.07272067598575138,0.9990514530055896,0.9281376871891656,-0.07091376581642406,-0.9751527313953825,0.0009485469944112701,0.013043704304909443,0.07186231281083533,0.9881964357002919,0.05162214923043895,0.70986894071988,0.05630884837932704,0.7743168997818445,0.03445992946526755,0.4738670123476231,0.04906484690236457,0.6747028439611611,0.0,0.36333333333333334,0.5633333333333334,0.4,-0.11382563932797986,-0.12011464954038518,0.8,IFO-Valley,1.0,True,IFO-Valley,high,False
10.1016_j.jallcom.2020.155283_Fig5_G_stability_performance_curve_jsc_67b0d96b4b,True,,lab/data_all/x_time_h/10.1016_j.jallcom.2020.155283/Fig5_G_stability_performance_curve_jsc/accepted/10.1016_j.jallcom.2020.155283__Fig5__G__stability_performance_curve_jsc__o—w_o_BiBr₃__Series_1.csv,10.1016/j.jallcom.2020.155283,Fig5_G_stability_performance_curve_jsc,10.1016_j.jallcom.2020.155283__Fig5__G__stability_performance_curve_jsc__o—w_o_BiBr₃__Series_1,Time(h),(h),Normalized PCE,,1.0,70,996.6160492997232,1.579034681957367,998.1950839816806,0.8195345621130332,1.0904323369452515,500,0.21058039666387773,0.9148191461832763,0.8251326122972301,-0.0896865338860462,-0.42590162857942193,0.08516089982581643,0.4044103875525876,0.17484743371186262,0.8303120161320096,0.19597266733642404,0.9306311054643414,0.12395304447848343,0.5886257526446474,0.10528102935475958,0.49995645854350856,0.07101451876232234,0.3372323344782831,0.13666666666666666,0.37,0.7966666666666666,0.4,0.05722039397899842,-0.19048418732181788,0.46,IFO-Valley,1.0,True,IFO-Valley,high,False
10.1016_j.jpowsour.2021.230213_Fig5_A_stability_performance_curve_pce_ff01e33829,True,,lab/data_all/x_time_h/10.1016_j.jpowsour.2021.230213/Fig5_A_stability_performance_curve_pce/accepted/10.1016_j.jpowsour.2021.230213__Fig5__A__stability_performance_curve_pce__Control__Series_1.csv,10.1016/j.jpowsour.2021.230213,Fig5_A_stability_performance_curve_pce,10.1016_j.jpowsour.2021.230213__Fig5__A__stability_performance_curve_pce__Control__Series_1,Time,(h),Normalized PCE,,1.0,87,1594.8242165597612,2.781246714345258,1597.6054632741066,0.8496100638698955,0.9961344007616438,500,0.0748559559760682,0.9973461007440111,0.9263503618675445,-0.0709957388764666,-0.9484313966835755,0.002653899255989356,0.035453414780218954,0.07364963813245595,0.9838848114637944,0.04357892673615249,0.5821704655015678,0.05096673894198578,0.6808641781060158,0.037079175741279946,0.49534035412137856,0.057108175675760764,0.7629075726989382,0.0,0.26666666666666666,0.6466666666666666,0.4,-0.3184679107173714,-0.1715365563910646,0.62,IFO-Valley,1.0,True,IFO-Valley,high,False
10.1016_j.orgel.2019.105490_Fig9_F_stability_performance_curve_pce_d4b733fa87,True,,lab/data_all/x_time_h/10.1016_j.orgel.2019.105490/Fig9_F_stability_performance_curve_pce/accepted/10.1016_j.orgel.2019.105490__Fig9__F__stability_performance_curve_pce__WO__Series_1.csv,10.1016/j.orgel.2019.105490,Fig9_F_stability_performance_curve_pce,10.1016_j.orgel.2019.105490__Fig9__F__stability_performance_curve_pce__WO__Series_1,Time (hour),hour,PCE (%),%,1.0,62,1430.437410607638,-0.6236723369390234,1429.8137382706989,3.113786037262276,11.758017669453965,500,0.4897162218202584,0.9996437646402988,0.5104112166324509,-0.4892325480078479,-0.9990123385935374,0.000346680556535639,0.0007079213248175428,0.4895792285643835,0.9997202599183549,0.16313989947434682,0.3331314998469142,0.3553105829311477,0.725543829466115,0.2187788926250549,0.4467462642177979,0.3527008577017551,0.7202147733452203,0.01,0.19,0.33666666666666667,0.4,-0.9986157466453275,-0.08039652079409187,0.81,IFO-Valley,1.0,True,IFO-Valley,high,False
10.1016_j.solener.2020.03.034_Fig6_D_stability_performance_curve_pce_1480e6e567,True,,lab/data_all/x_time_day/10.1016_j.solener.2020.03.034/Fig6_D_stability_performance_curve_pce/accepted/10.1016_j.solener.2020.03.034__Fig6__D__stability_performance_curve_pce__5_mg_ml_PbS__Series_3.csv,10.1016/j.solener.2020.03.034,Fig6_D_stability_performance_curve_pce,10.1016_j.solener.2020.03.034__Fig6__D__stability_performance_curve_pce__5_mg_ml_PbS__Series_3,Time,(days),Normalized PCE,(a.u.),24.0,50,1443.3200960236902,-0.428575070822216,59.70976226349821,0.761074782243118,1.0041685972244851,500,0.09510205958927742,0.9929709154120343,0.9064928817629134,-0.08647803364912088,-0.9093182000747239,0.0070107976016293705,0.07371867267551611,0.09348883125075025,0.98303687275024,0.0169835156908672,0.17858199669086935,0.053359488326567006,0.5610760540519691,0.056572803319037135,0.5948641234833532,0.089691348641591,0.9431062695061079,0.0,0.14,0.23,0.4,-0.5515397753235449,-0.10470553713245184,0.8433333333333334,IFO-Valley,1.0,True,IFO-Valley,high,False
10.1016_j.solmat.2020.110460_Fig4_whole_pce_33925d0177,True,,lab/data_all/x_time_h/10.1016_j.solmat.2020.110460/Fig4_whole_pce/accepted/10.1016_j.solmat.2020.110460__Fig4__whole__pce__HTM-free__Series_2.csv,10.1016/j.solmat.2020.110460,Fig4_whole_pce,10.1016_j.solmat.2020.110460__Fig4__whole__pce__HTM-free__Series_2,Time (h),(h),Normalized PCE,,1.0,65,746.5780539112903,23.4538336967764,770.0318876080668,0.9423175532233564,1.0010781065331322,500,0.05826345800798027,0.9651255686788883,0.9609611562626234,-0.004164412416264973,-0.07147554502677439,0.03407065135983123,0.5847687817493533,0.0382350637760962,0.6562443267761277,0.011370970572226469,0.19516470461930016,0.024192806648149046,0.4152312182506467,0.049229778543768976,0.8449511962888648,0.029201384311884904,0.5011955230649926,0.07,0.18666666666666668,0.37333333333333335,0.4,0.3118716709064001,-0.08331166556000762,0.4666666666666667,IFO-Valley,1.0,True,IFO-Valley,high,False
10.1021_acsami.0c03180_Fig8_D_stability_performance_curve_pce_ef818dd1f4,True,,lab/data_all/x_time_day/10.1021_acsami.0c03180/Fig8_D_stability_performance_curve_pce/accepted/10.1021_acsami.0c03180__Fig8__D__stability_performance_curve_pce__C1__Series_2.csv,10.1021/acsami.0c03180,Fig8_D_stability_performance_curve_pce,10.1021_acsami.0c03180__Fig8__D__stability_performance_curve_pce__C1__Series_2,Time (days),days,Normalized PCE (%),%,24.0,52,2827.51284047599,0.2146644022623292,118.02769942209524,0.4583457211092091,1.0037616349999778,500,0.056744259168195255,0.9961438835860288,0.954653566244767,-0.04149031734126174,-0.7311808797834611,0.0038561164139720994,0.06795606234883096,0.04534643375523384,0.7991369421322921,0.04015046245557086,0.7075687134545392,0.052888142754223155,0.932043937651169,0.03645978845681397,0.6425282308954597,0.025061963043852553,0.4416651730277519,0.0,0.21333333333333335,0.63,0.4,-0.37916891104188283,-0.07315214347699864,0.5833333333333334,IFO-Valley,1.0,True,IFO-Valley,high,False
10.1021_acsami.0c04938_Fig6_A_stability_performance_curve_pce_b408a2011d,True,,lab/data_all/x_time_h/10.1021_acsami.0c04938/Fig6_A_stability_performance_curve_pce/accepted/10.1021_acsami.0c04938__Fig6__A__stability_performance_curve_pce__Pristine_CsPbIBr₂__Series_2.csv,10.1021/acsami.0c04938,Fig6_A_stability_performance_curve_pce,10.1021_acsami.0c04938__Fig6__A__stability_performance_curve_pce__Pristine_CsPbIBr₂__Series_2,Time,(h),Normalized PCE,,1.0,67,990.9736180879994,4.561371188846607,995.534989276846,0.5813726810572357,0.9975950088826496,500,0.12729404712948278,0.9997932394838437,0.8766419134521288,-0.12315132603171486,-0.9674555001495555,0.0002166448315091829,0.0017019242957120612,0.12336797086322404,0.9691574244452676,0.04720138807258867,0.3708059342678899,0.06714669365924975,0.5274928024791962,0.04893040158656192,0.38438876514618314,0.10493503395902704,0.8243514628165425,0.0033333333333333335,0.23333333333333334,0.5466666666666666,0.4,-0.32517002268746736,-0.006608799116756787,0.5733333333333334,IFO-Valley,1.0,True,IFO-Valley,high,False
