curve_id,axis_valid,audit_reasons,source_file,doi,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours,x_min_original,x_max_original,y_min_original,y_max_original
10.1002_adfm.201706777_Fig4_D_stability_performance_curve_pce_cc997f5bef,True,,lab/data_all/x_time_h/10.1002_adfm.201706777/Fig4_D_stability_performance_curve_pce/accepted/10.1002_adfm.201706777__Fig4__D__stability_performance_curve_pce__ITO_Ag__Series_1.csv,10.1002/adfm.201706777,Fig4_D_stability_performance_curve_pce,10.1002_adfm.201706777__Fig4__D__stability_performance_curve_pce__ITO_Ag__Series_1,Time,(h),Normalized PCE,,1.0,54,1515.859156443802,34.02094932650465,1549.8801057703067,0.2746989670146856,0.9659494991476324
10.1002_adfm.201706777_Fig4_D_stability_performance_curve_pce_d0e1835a21,True,,lab/data_all/x_time_h/10.1002_adfm.201706777/Fig4_D_stability_performance_curve_pce/accepted/10.1002_adfm.201706777__Fig4__D__stability_performance_curve_pce__ITO_Au__Series_2.csv,10.1002/adfm.201706777,Fig4_D_stability_performance_curve_pce,10.1002_adfm.201706777__Fig4__D__stability_performance_curve_pce__ITO_Au__Series_2,Time,(h),Normalized PCE,,1.0,54,1515.859156443802,25.59950956848354,1541.4586660122854,0.5327009261910672,1.0121951333396255
10.1002_adfm.201909737_Fig8_B_stability_performance_curve_pce_c0d3c12ac0,True,,lab/data_all/x_time_h/10.1002_adfm.201909737/Fig8_B_stability_performance_curve_pce/accepted/10.1002_adfm.201909737__Fig8__B__stability_performance_curve_pce__MAPbI₃__Series_1.csv,10.1002/adfm.201909737,Fig8_B_stability_performance_curve_pce,10.1002_adfm.201909737__Fig8__B__stability_performance_curve_pce__MAPbI₃__Series_1,Time,hr,PCE,,1.0,112,1707.8209870737605,34.381227600127005,1742.2022146738875,0.0409722366329181,0.9622380721278592
10.1002_adfm.202111116_Fig5_A_stability_performance_curve_4962c740a2,True,,lab/data_all/x_time_day/10.1002_adfm.202111116/Fig5_A_stability_performance_curve/accepted/10.1002_adfm.202111116__Fig5__A__stability_performance_curve__optimized_device__Series_1.csv,10.1002/adfm.202111116,Fig5_A_stability_performance_curve,10.1002_adfm.202111116__Fig5__A__stability_performance_curve__optimized_device__Series_1,Time (day),(day),Normalized PCE (%),(%),24.0,59,2372.779344225571,-0.7213720499861687,98.14443395941262,100.6662964631792,104.42840519383924
10.1002_adfm.202215041_Fig3_E_stability_performance_curve_pce_5f0f1034cc,True,,lab/data_all/x_time_h/10.1002_adfm.202215041/Fig3_E_stability_performance_curve_pce/accepted/10.1002_adfm.202215041__Fig3__E__stability_performance_curve_pce__Control__Series_1.csv,10.1002/adfm.202215041,Fig3_E_stability_performance_curve_pce,10.1002_adfm.202215041__Fig3__E__stability_performance_curve_pce__Control__Series_1,Time,(h),Normalized PCE,,1.0,122,1974.343361226661,13.212124099236831,1987.555485325898,0.7971108175718022,1.0054861523991494
10.1002_adma.201706126_Fig5_C_stability_performance_curve_e3cc067d22,True,,lab/data_all/x_time_h/10.1002_adma.201706126/Fig5_C_stability_performance_curve/accepted/10.1002_adma.201706126__Fig5__C__stability_performance_curve__CB_with_0.0_mg_ml_PBDB-T__Series_2.csv,10.1002/adma.201706126,Fig5_C_stability_performance_curve,10.1002_adma.201706126__Fig5__C__stability_performance_curve__CB_with_0.0_mg_ml_PBDB-T__Series_2,Time,hours,Normalized PCE,,1.0,68,3590.783910161037,1.296935384127096,3592.0808455451643,0.5045445097281288,0.9953316814809448
10.1002_adma.201901242_Fig5_C_stability_performance_curve_pce_d1cdf55a17,True,,lab/data_all/x_time_h/10.1002_adma.201901242/Fig5_C_stability_performance_curve_pce/accepted/10.1002_adma.201901242__Fig5__C__stability_performance_curve_pce__Control__Series_1.csv,10.1002/adma.201901242,Fig5_C_stability_performance_curve_pce,10.1002_adma.201901242__Fig5__C__stability_performance_curve_pce__Control__Series_1,Time (h),(h),Norm. PCE,,1.0,53,1670.0133927610427,-1.8564792445839655,1668.1569135164589,0.8120041100084064,1.0030634683336894
10.1002_adma.201907769_Fig4_F_jv_curve_stability_performance_jsc_d71ae30e69,True,,lab/data_all/x_time_h/10.1002_adma.201907769/Fig4_F_jv_curve_stability_performance_jsc/accepted/10.1002_adma.201907769__Fig4__F__jv_curve_stability_performance_jsc__Control__Series_1.csv,10.1002/adma.201907769,Fig4_F_jv_curve_stability_performance_jsc,10.1002_adma.201907769__Fig4__F__jv_curve_stability_performance_jsc__Control__Series_1,Time,(h),Normalized PCE,(a.u.),1.0,128,2197.7967909705776,0.0726482691406431,2197.8694392397183,0.3311936895331109,0.9993242616229356
10.1002_adma.202103231_Fig6_A_stability_performance_curve_4f7894bdf5,True,,lab/data_all/x_time_h/10.1002_adma.202103231/Fig6_A_stability_performance_curve/accepted/10.1002_adma.202103231__Fig6__A__stability_performance_curve__Control__Series_2.csv,10.1002/adma.202103231,Fig6_A_stability_performance_curve,10.1002_adma.202103231__Fig6__A__stability_performance_curve__Control__Series_2,Time,(h),PCE,(%),1.0,119,1987.7151159492753,1.092681729175922,1988.8077976784512,0.9009212412576952,1.0067026633837906
10.1002_adma.202109348_Fig4_D_stability_performance_curve_pce_d0e3bbef03,True,,lab/data_all/x_time_h/10.1002_adma.202109348/Fig4_D_stability_performance_curve_pce/accepted/10.1002_adma.202109348__Fig4__D__stability_performance_curve_pce__2D_3D_mixed_perovskite_composites__Series_2.csv,10.1002/adma.202109348,Fig4_D_stability_performance_curve_pce,10.1002_adma.202109348__Fig4__D__stability_performance_curve_pce__2D_3D_mixed_perovskite_composites__Series_2,Time (hours),hours,Normalized PCEs (a.u.),a.u.,1.0,51,1779.3368120932869,4.254788379669321,1783.591600472956,0.3006039518856439,1.0019619719619712
