pair_id,sigma,learning_rate,k,layout,quantization_error,qe_per_sqrt_dimension,occupied_nodes,minimum_occupied_node_size,minimum_member_centroid_rmse,cluster_sizes,qe_drop_from_previous_percent,qe_drop_to_next_percent
1,0.5,0.1,2,1x2,0.9322050716328633,0.03107350238776211,2,26,0.15773438013093805,"[83, 26]",,24.525878011564156
1,0.5,0.1,3,1x3,0.703573592946573,0.023452453098219098,3,23,0.05155619471954264,"[55, 31, 23]",24.52587801156416,24.963083641297438
1,0.5,0.1,4,2x2,0.5279399284612384,0.017597997615374613,4,4,0.04563446326464276,"[4, 28, 22, 55]",24.963083641297434,7.861832380001796
1,0.5,0.1,5,1x5,0.4864341762185144,0.01621447254061715,5,4,0.03892850296960145,"[4, 19, 8, 27, 51]",7.861832380001799,6.177620986049277
1,0.5,0.1,6,2x3,0.45638411646512356,0.015212803882170785,6,4,0.01639231697412509,"[11, 8, 20, 44, 22, 4]",6.1776209860492814,12.695278468994989
1,0.5,0.1,7,1x7,0.3984448819916137,0.013281496066387124,7,4,0.01576121098666551,"[22, 43, 12, 7, 5, 4, 16]",12.695278468994985,6.995938131446362
1,0.5,0.1,8,2x4,0.37056992455956594,0.012352330818652198,8,4,0.014511693671830729,"[4, 16, 11, 9, 5, 6, 17, 41]",6.9959381314463664,5.947458935484056
1,0.5,0.1,9,3x3,0.3485304304691315,0.011617681015637716,9,4,0.0144498047857249,"[16, 5, 4, 14, 9, 6, 9, 35, 11]",5.947458935484051,-8.778636411987089
1,0.5,0.1,10,2x5,0.37912664974515004,0.012637554991505002,10,3,0.010258676659673817,"[3, 13, 9, 5, 19, 5, 9, 32, 10, 4]",-8.778636411987083,
2,0.3,0.1,2,1x2,0.9322050912020934,0.03107350304006978,2,26,0.15773438013093805,"[83, 26]",,18.11659271650023
2,0.3,0.1,3,1x3,0.7633212915465306,0.02544404305155102,3,4,0.1322258180309224,"[82, 4, 23]",18.116592716500236,30.83647335437774
2,0.3,0.1,4,2x2,0.5279399248704927,0.01759799749568309,4,4,0.04563446326464276,"[4, 55, 22, 28]",30.836473354377738,4.3311366836368395
2,0.3,0.1,5,1x5,0.505074125116862,0.016835804170562067,5,4,0.014210203243658796,"[4, 45, 10, 28, 22]",4.331136683636839,3.447168758548295
2,0.3,0.1,6,2x3,0.4876633676683224,0.01625544558894408,6,3,0.014210203243658796,"[3, 10, 45, 25, 22, 4]",3.4471687585482913,17.075276689911103
2,0.3,0.1,7,1x7,0.4043934983236179,0.013479783277453928,7,1,0.037414151008774446,"[25, 51, 1, 7, 5, 4, 16]",17.0752766899111,-4.394988469410474
2,0.3,0.1,8,2x4,0.4221665459459865,0.01407221819819955,8,4,0.006345702391900605,"[4, 22, 11, 30, 8, 6, 8, 20]",-4.394988469410466,4.814089306452474
2,0.3,0.1,9,3x3,0.401843071402181,0.013394769046739367,9,3,0.011047403227702163,"[8, 16, 4, 19, 3, 11, 6, 32, 10]",4.814089306452473,2.1666190259497986
2,0.3,0.1,10,2x5,0.3931366629627203,0.013104555432090678,10,4,0.006232828337857951,"[11, 8, 6, 6, 19, 11, 8, 24, 12, 4]",2.166619025949801,
3,0.5,0.3,2,1x2,0.9413903925819954,0.03137967975273318,2,26,0.15773438013093805,"[83, 26]",,24.203511460516562
3,0.5,0.3,3,1x3,0.7135408610252103,0.02378469536750701,3,23,0.05155619471954264,"[55, 31, 23]",24.20351146051656,25.124196472379623
3,0.5,0.3,4,2x2,0.5342694531905272,0.017808981773017575,4,4,0.04516417550463805,"[4, 29, 22, 54]",25.124196472379623,9.150529668891014
3,0.5,0.3,5,1x5,0.4853809683645062,0.016179365612150207,5,4,0.037414151008774446,"[4, 20, 9, 25, 51]",9.150529668891016,4.684491499815269
3,0.5,0.3,6,2x3,0.4626433381597499,0.015421444605324996,6,4,0.01639231697412509,"[11, 9, 20, 44, 21, 4]",4.684491499815269,12.732782305746424
3,0.5,0.3,7,1x7,0.40373596905983067,0.01345786563532769,7,4,0.01639231697412509,"[21, 44, 11, 8, 5, 4, 16]",12.732782305746426,5.264016380273976
3,0.5,0.3,8,2x4,0.3824832415154633,0.012749441383848778,8,4,0.01639231697412509,"[4, 16, 9, 11, 5, 6, 14, 44]",5.264016380273972,2.1420775296525894
3,0.5,0.3,9,3x3,0.37429015394427373,0.012476338464809123,9,2,0.01639231697412509,"[16, 5, 4, 17, 7, 2, 44, 11, 3]",2.1420775296525862,11.838881871609432
3,0.5,0.3,10,2x5,0.32997838476174607,0.010999279492058202,10,4,0.0144498047857249,"[9, 14, 6, 6, 4, 35, 11, 9, 11, 4]",11.83888187160943,
