sample,record_id,csv_path,x_name,x_unit,y_name,y_unit,x_class,y_class,hour_multiplier,mapping_count,csv_count_in_sample,metadata_status,numeric_rows,malformed_rows,x_min,x_max,y_min,y_max,x_unique,x_monotonic,csv_status,x_max_hours,strict_pce_hour_eligible,eligibility_reason
图片1,samples_test__unknown__unknown__图片1,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片1/accepted/samples_test__unknown__unknown__图片1__Series_1__Series_1.csv,Thermal cycles,,Normalized PCE,,non_time_cycle,pce_or_efficiency,,0,2,ok,64,0,-0.5993493257997429,197.2076219346634,0.9053732294229523,1.0021347422264117,64,True,ok,,False,non_time_cycle
图片1,samples_test__unknown__unknown__图片1,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片1/accepted/samples_test__unknown__unknown__图片1__Series_2__Series_2.csv,Thermal cycles,,Normalized PCE,,non_time_cycle,pce_or_efficiency,,0,2,ok,64,0,-0.28537000633868814,197.52160125412445,0.34630671100296384,1.0057185019598733,64,True,ok,,False,non_time_cycle
图片102,samples_test__unknown__unknown__图片102,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Control__Series_1.csv,Time,(h),Normalized PCE,,time_hours,pce_or_efficiency,1.0,2,2,ok,30,0,0.2808468239687869,213.12665721311737,0.12154565479897217,1.0036369299852415,30,True,ok,213.12665721311737,True,eligible
图片102,samples_test__unknown__unknown__图片102,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Target__Series_2.csv,Time,(h),Normalized PCE,,time_hours,pce_or_efficiency,1.0,2,2,ok,30,0,0.2808468239687869,213.12665721311737,0.9149350140447227,1.1021946143635954,30,True,ok,213.12665721311737,True,eligible
图片103,samples_test__unknown__unknown__图片103,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,Time,(h),Normalized PCE,,time_hours,pce_or_efficiency,1.0,2,2,ok,63,0,-1.3105387035323872,1000.5625722547218,0.5208347986198131,0.9972044422696348,63,True,ok,1000.5625722547218,True,eligible
图片103,samples_test__unknown__unknown__图片103,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,Time,(h),Normalized PCE,,time_hours,pce_or_efficiency,1.0,2,2,ok,65,0,-2.8759654394046663,998.9971455188495,0.9123714920306254,1.0037300538264817,65,True,ok,998.9971455188495,True,eligible
图片105,samples_test__unknown__unknown__图片105,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_1__Series_1.csv,Time,(h),Normalized PCE,,time_hours,pce_or_efficiency,1.0,0,2,ok,27,0,-3.2457655094714823,503.2663791762418,0.2029016490991553,1.0087023048344443,27,True,ok,503.2663791762418,True,eligible
图片105,samples_test__unknown__unknown__图片105,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,Time,(h),Normalized PCE,,time_hours,pce_or_efficiency,1.0,0,2,ok,56,0,-5.193889142878078,1066.2741092307463,0.8908951914228523,0.9945654512250532,56,True,ok,1066.2741092307463,True,eligible
图片107,samples_test__unknown__unknown__图片107,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,Time,(h),PCE,(norm.),time_hours,pce_or_efficiency,1.0,0,2,ok,33,0,14.493093149841343,1324.2144817280746,0.5107532173249982,0.9990207635196668,33,True,ok,1324.2144817280746,True,eligible
图片107,samples_test__unknown__unknown__图片107,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,Time,(h),PCE,(norm.),time_hours,pce_or_efficiency,1.0,0,2,ok,33,0,6.307334471227364,1316.0287230494607,0.662154006842725,1.0217308819473259,33,True,ok,1316.0287230494607,True,eligible
图片11,samples_test__unknown__unknown__图片11,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片11/accepted/samples_test__unknown__unknown__图片11__Series_1__Series_1.csv,Time,(h),Normalized PCE,,time_hours,pce_or_efficiency,1.0,0,2,ok,50,0,-0.8167830047531695,275.4154280601935,0.8482154979386229,1.0013185476954727,50,True,ok,275.4154280601935,True,eligible
图片11,samples_test__unknown__unknown__图片11,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片11/accepted/samples_test__unknown__unknown__图片11__Series_2__Series_2.csv,Time,(h),Normalized PCE,,time_hours,pce_or_efficiency,1.0,0,2,ok,50,0,-0.8167830047531695,275.4154280601935,0.663591232055363,1.0058215785706741,50,True,ok,275.4154280601935,True,eligible
图片113,samples_test__unknown__unknown__图片113,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_1__Series_1.csv,Time (h),h,Normalized PCE,,time_hours,pce_or_efficiency,1.0,0,2,ok,53,0,0.35103602488629804,996.1977183860802,0.7997983915708218,1.0044508680643878,50,True,ok,996.1977183860802,True,eligible
图片113,samples_test__unknown__unknown__图片113,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_2__Series_2.csv,Time (h),h,Normalized PCE,,time_hours,pce_or_efficiency,1.0,0,2,ok,49,0,14.577417201474788,990.100697881828,0.3444466313726373,1.0044508680643878,49,True,ok,990.100697881828,True,eligible
图片114,samples_test__unknown__unknown__图片114,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_1__Series_1.csv,Time,hr,Normalized PCE,,time_hours,pce_or_efficiency,1.0,0,3,ok,52,0,1.9695087968972729,607.7655803675857,0.539085008983947,0.9759921087664922,52,True,ok,607.7655803675857,True,eligible
图片114,samples_test__unknown__unknown__图片114,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_2__Series_2.csv,Time,hr,Normalized PCE,,time_hours,pce_or_efficiency,1.0,0,3,ok,84,0,1.9695087968972729,987.8729193923314,0.9572675187758117,1.0196828187447466,84,True,ok,987.8729193923314,True,eligible
图片114,samples_test__unknown__unknown__图片114,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_3__Series_3.csv,Time,hr,Normalized PCE,,time_hours,pce_or_efficiency,1.0,0,3,ok,84,0,7.908685969158924,993.812096564593,0.6077418389497755,1.0134412887478532,84,True,ok,993.812096564593,True,eligible
图片115,samples_test__unknown__unknown__图片115,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_1__Series_1.csv,Time,(h),PCE,(norm.),time_hours,pce_or_efficiency,1.0,0,2,ok,30,0,18.360890874959807,1306.8486157354719,0.5175833480470575,0.9922909695683397,30,True,ok,1306.8486157354719,True,eligible
图片115,samples_test__unknown__unknown__图片115,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_2__Series_2.csv,Time,(h),PCE,(norm.),time_hours,pce_or_efficiency,1.0,0,2,ok,31,0,5.031707514333846,1337.9500435769328,0.6549987121716392,1.0131114792841853,31,True,ok,1337.9500435769328,True,eligible
图片116,samples_test__unknown__unknown__图片116,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_1__Series_1.csv,Times,(h),Normalized MPPT,,time_hours,power_proxy,1.0,0,4,ok,43,0,0.48934560801498606,988.9318154081944,0.5063897787021453,0.9199509760980017,43,True,ok,988.9318154081944,False,power_proxy
