pair_id,sigma,learning_rate,k,layout,quantization_error,qe_per_sqrt_dimension,occupied_nodes,minimum_occupied_node_size,minimum_member_centroid_rmse,cluster_sizes,qe_drop_from_previous_percent,qe_drop_to_next_percent
1,0.5,0.1,3,1x3,0.703573592946573,0.023452453098219,3,23,0.0515561947195426,"[55, 31, 23]",24.52587801156416,24.96308364129744
1,0.5,0.1,4,2x2,0.5279399284612384,0.0175979976153746,4,4,0.0456344632646427,"[4, 28, 22, 55]",24.96308364129743,7.861832380001796
1,0.5,0.1,5,1x5,0.4864341762185144,0.0162144725406171,5,4,0.0389285029696014,"[4, 19, 8, 27, 51]",7.861832380001799,6.177620986049277
1,0.5,0.1,6,2x3,0.4563841164651235,0.0152128038821707,6,4,0.016392316974125,"[11, 8, 20, 44, 22, 4]",6.1776209860492814,12.695278468994989
2,0.3,0.1,3,1x3,0.7633212915465306,0.025444043051551,3,4,0.1322258180309224,"[82, 4, 23]",18.116592716500236,30.83647335437774
2,0.3,0.1,4,2x2,0.5279399248704927,0.017597997495683,4,4,0.0456344632646427,"[4, 55, 22, 28]",30.836473354377738,4.3311366836368395
2,0.3,0.1,5,1x5,0.505074125116862,0.016835804170562,5,4,0.0142102032436587,"[4, 45, 10, 28, 22]",4.331136683636839,3.447168758548295
2,0.3,0.1,6,2x3,0.4876633676683224,0.016255445588944,6,3,0.0142102032436587,"[3, 10, 45, 25, 22, 4]",3.4471687585482913,17.075276689911103
3,0.5,0.3,3,1x3,0.7135408610252103,0.023784695367507,3,23,0.0515561947195426,"[55, 31, 23]",24.20351146051656,25.124196472379623
3,0.5,0.3,4,2x2,0.5342694531905272,0.0178089817730175,4,4,0.045164175504638,"[4, 29, 22, 54]",25.124196472379623,9.150529668891014
3,0.5,0.3,5,1x5,0.4853809683645062,0.0161793656121502,5,4,0.0374141510087744,"[4, 20, 9, 25, 51]",9.150529668891016,4.684491499815269
3,0.5,0.3,6,2x3,0.4626433381597499,0.0154214446053249,6,4,0.016392316974125,"[11, 9, 20, 44, 21, 4]",4.684491499815269,12.732782305746424
