sample,curve_id,csv_path,window_hours,included,reason,duration_hours,first_global_max_time_hours,raw_points,x_name,x_unit,y_name,y_unit,mapping_count,normalized_min_before_smoothing,normalized_max_before_smoothing,smoothed_min,smoothed_max
图片103,图片103_b49966b933,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,300,True,included,1001.8731109582542,0.0,63,Time,(h),Normalized PCE,,2,0.8465122932326848,1.0,0.8465310781489878,1.0001266535803564
图片103,图片103_e647eaafac,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,300,True,included,1001.8731109582542,0.0,65,Time,(h),Normalized PCE,,2,0.9382695419298605,1.0,0.9382294042573869,1.0
图片105,图片105_a0f739dd1e,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_1__Series_1.csv,300,True,included,506.5121446857133,38.96247266813177,27,Time,(h),Normalized PCE,,0,0.666996208237759,1.0,0.6669275282069989,0.9998604633273783
图片105,图片105_dccad548c1,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,300,True,included,1071.4679983736244,97.40618167032949,56,Time,(h),Normalized PCE,,0,0.910288633773915,1.0,0.9101133400956052,0.9999999999999601
图片107,图片107_bce0588e91,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,300,True,included,1309.7213885782332,0.0,33,Time,(h),PCE,(norm.),0,0.7405455969770336,1.0,0.7405596046238986,1.0000050427528713
图片107,图片107_b88bf7baa8,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,300,True,included,1309.7213885782335,0.0,33,Time,(h),PCE,(norm.),0,0.7729193931219179,1.0,0.7729193931219178,0.9999975349034493
图片113,图片113_79585e07d2,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_1__Series_1.csv,300,True,included,995.8466823611939,0.0,53,Time (h),h,Normalized PCE,,0,0.9796663590322715,1.0,0.9796432040563254,1.0000000000000002
图片113,图片113_c533222a3c,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_2__Series_2.csv,300,True,included,975.5232806803532,0.0,49,Time (h),h,Normalized PCE,,0,0.8689522369354293,1.0,0.8688691871832672,0.9999999999999998
图片114,图片114_ee5e59416d,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_1__Series_1.csv,300,True,included,605.7960715706885,0.0,52,Time,hr,Normalized PCE,,0,0.5834151132368933,1.0,0.5834151132368929,0.9999999999999998
图片114,图片114_d13ee8bd02,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_2__Series_2.csv,300,True,included,985.9034105954341,166.29696082332623,84,Time,hr,Normalized PCE,,0,0.9563876389413672,1.0,0.956387638941329,0.9999528025359975
图片114,图片114_9e06e27c24,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_3__Series_3.csv,300,True,included,985.9034105954341,0.0,84,Time,hr,Normalized PCE,,0,0.9660526852516885,1.0,0.9658986022687196,1.0000714195272868
图片115,图片115_8c30182729,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_1__Series_1.csv,300,True,included,1288.4877248605121,0.0,30,Time,(h),PCE,(norm.),0,0.7457472801779673,1.0,0.7457569824254437,1.000006237159092
图片115,图片115_430f145e0d,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_2__Series_2.csv,300,True,included,1332.9183360625989,0.0,31,Time,(h),PCE,(norm.),0,0.7755888748639685,1.0,0.7755841237147599,1.0000008098549782
图片12,图片12_38533f8bee,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片12/accepted/samples_test__unknown__unknown__图片12__Target__Series_2.csv,300,True,included,1561.8801618558145,0.0,51,Time,(h),Normalized PCE,,2,0.972003648929442,1.0,0.9719984537259351,1.0000000000000002
图片121,图片121_15f5c6cbae,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__2PaCz__Series_1.csv,300,True,included,855.9214488670177,17.467784670755464,50,Time,hours,PCE,%,2,0.9192637289711432,1.0,0.9192383542193421,0.9999783649363055
图片122,图片122_c3ddf8ba4b,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__OCT-doped__Series_2.csv,300,True,included,997.8628278541325,0.0,53,Time,( h ),PCE,( % ),2,0.9593146369584411,1.0,0.9592918549502049,1.0000000000000002
图片122,图片122_3138f8748b,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__Pristine__Series_1.csv,300,True,included,729.2074511241739,0.0,39,Time,( h ),PCE,( % ),2,0.9577086775239579,1.0,0.957704695122145,1.0000000000000004
图片127,图片127_aef6d9af0f,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_1__Series_1.csv,300,True,included,2118.153166482114,0.0,37,Time,(h),Normal. PCE,,0,0.8916843080834465,1.0,0.8916846876561123,0.9999992787641416
图片127,图片127_643357a725,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_2__Series_2.csv,300,True,included,2118.153166482114,0.0,37,Time,(h),Normal. PCE,,0,0.937032681764955,1.0,0.9370285891851704,1.0000012936486895
图片127,图片127_02e16b0d01,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_3__Series_3.csv,300,True,included,2118.153166482114,0.0,37,Time,(h),Normal. PCE,,0,0.7428664054633916,1.0,0.7428666400405651,1.0000088904241458
图片132,图片132_3a415162c3,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__SnO2-FBA__Series_2.csv,300,True,included,986.2603191123052,0.0,43,Time,(h),Normalized PCE,,2,0.9252947985875775,1.0,0.9252947985875773,0.99999999999996
图片132,图片132_b06a9ac20e,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__Sn_{$__Series_1.csv,300,True,included,986.2603191123052,0.0,43,Time,(h),Normalized PCE,,2,0.8337617122172164,1.0,0.833775435007195,0.999990851473347
图片135,图片135_34111350bc,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_1__Series_1.csv,300,True,included,1011.0572730371723,0.0,57,Time,h,Normalized PCE,,0,0.9864544172506924,1.0,0.9864723846449536,0.9999999999999996
图片135,图片135_4b2d21d4f1,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_2__Series_2.csv,300,True,included,1011.0572730371723,0.0,57,Time,h,Normalized PCE,,0,0.8710724323836964,1.0,0.8710724323836959,0.9999999999999996
图片136,图片136_d25478ae5a,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片136/accepted/samples_test__unknown__unknown__图片136__Control__Series_2.csv,300,True,included,652.8002443820736,93.25717776886756,15,Time,(h),Normalized PCE,,2,0.8147685776075857,1.0,0.8147772835889722,0.9999999999999601
图片136,图片136_18887ea1b1,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片136/accepted/samples_test__unknown__unknown__图片136__Target__Series_1.csv,300,True,included,1352.229077648581,233.1429444221692,30,Time,(h),Normalized PCE,,2,0.977078069493063,1.0,0.9770780694930631,0.9999898626313519
图片141,图片141_52b07a6326,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell1__Series_1.csv,300,True,included,2411.8599222799694,63.46999795473607,39,Time,(hours),Norm. PCE,,4,0.9722380513433092,1.0,0.9722380513433095,0.9999999999999601
图片141,图片141_123f56d443,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell2__Series_2.csv,300,True,included,2348.389924325233,0.0,38,Time,(hours),Norm. PCE,,4,0.9958123809739944,1.0,0.995812380973955,0.9999999999999601
图片141,图片141_8fd14d68be,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell3__Series_3.csv,300,True,included,2411.8599222799694,63.46999795473607,39,Time,(hours),Norm. PCE,,4,0.9857805171467355,1.0,0.9857799733290377,0.9999999999999603
图片141,图片141_b8ba6dc543,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell4__Series_4.csv,300,True,included,2348.389924325233,0.0,38,Time,(hours),Norm. PCE,,4,0.9810566148373612,1.0,0.9810557061353504,0.9999999999999603
图片159,图片159_65f3e3ebbe,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片159/accepted/samples_test__unknown__unknown__图片159__MeO-2PACz__Series_2.csv,300,True,included,479.00324495962485,0.0,35,Time,(hours),Normalized PCE,,2,0.8488629280098525,1.0,0.8488629280098527,1.0
图片159,图片159_ebf4afac05,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片159/accepted/samples_test__unknown__unknown__图片159__PTAA__Series_1.csv,300,True,included,479.00324495962485,0.0,35,Time,(hours),Normalized PCE,,2,0.9550120080205684,1.0,0.9550058391223761,1.0
